id,event_type,road_names,direction,description,start_date,end_date,vehicle_impact,work_zone_type,reduced_speed_limit_kph,beginning_milepost,ending_milepost,num_lanes,lanes_closed,has_workers,geometry_type,num_coordinates
ORC300414517,work-zone,NY 298,unknown,"Bridge rehabilitation on NY 298 both directions between Solar Street (Syracuse) and Sunset Avenue (Syracuse), Continuous Friday November 1st, 2024 07:00 AM thru Monday November 3rd, 2025 03:00 PM All lanes closed",2024-11-01T11:00:00.000+00:00,2025-11-04T04:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300467056,work-zone,I-481,unknown,"Reconstruction on I-481 northbound at Exit 9N; I-81 N, for a Lane Shift (Cicero), Continuous Thursday July 24th, 2025 06:00 AM thru Wednesday December 31st, 2025 03:00 PM All lanes open",2025-07-24T10:00:00.000+00:00,2026-01-01T04:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC32352509,work-zone,NY 69,unknown,"Bridge construction on NY 69 both directions under I-90 (Whitestown) Motorists will encounter long term lane shift in both directions under the bridge, Continuous Friday August 29th, 2025 6:00 AM thru Thursday October 30th, 2025 6:00 PM",2025-08-29T10:00:00.000+00:00,2025-10-31T03:59:59.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC32547609,work-zone,US 9,unknown,Gas main work on US 9 both directions between Spackenkill Road - NY 113 (Poughkeepsie) and Rivercrest Road (Poughkeepsie) 2024081214581/NIGHT/32547609 - This work is weather permitting. Plan travel accordingly; delays may exist Not currently scheduled,2025-09-05T19:10:10.000+00:00,2025-10-11T03:59:59.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300483523,work-zone,NY 93,unknown,"Deck work on NY 93 westbound Rapids Road; CR 42 (Newstead) to Carney Rd, Wednesday September 10th, 2025 thru Friday October 10th, 2025, Sunday thru Saturday, 07:00 AM thru 04:30 PM All lanes closed",2025-09-10T11:00:00.000+00:00,2025-10-11T03:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300483526,work-zone,PARK AVE,unknown,"Construction on PARK AVE southbound between E 130TH ST (New York) and E 129TH ST (New York) to erect the gantries for the Park Avenue Viaduct-Southbound., Continuous Friday September 12th, 2025 12:00 AM thru Monday November 24th, 2025 11:59 PM All lanes closed",2025-09-12T04:00:00.000+00:00,2025-11-25T04:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC32532109,work-zone,Taconic State Parkway,unknown,"Bridge maintenance operations on Taconic State Parkway southbound between Exit 2 - Sprain Brook State Parkway (Mount Pleasant) and W Stevens Avenue (North Castle) D265281/B5502031-32/32532109 - This work is weather permitting. Plan travel accordingly; delays may exist, Monday October 6th, 2025 thru Friday October 10th, 2025, Monday thru Friday, 09:30 AM thru 03:00 PM, various lane closures, Monday October 13th, 2025 thru Friday October 17th, 2025, Monday thru Friday, 09:30 AM thru 03:00 PM, various lane closures",2025-10-06T13:30:00.000+00:00,2025-10-18T03:59:59.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300252333,work-zone,I-87 Major Deegan Expressway,unknown,"Longterm construction on I-87 Major Deegan Expressway northbound at East 138th Street; Ramp (New York), Continuous Monday April 25th, 2022 12:00 AM thru Friday April 24th, 2026 11:59 PM 1 Right lane of 3 lanes closed",2022-04-25T04:00:00.000+00:00,2026-04-25T03:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300252334,work-zone,I-87 Major Deegan Expressway,unknown,"Longterm construction on I-87 Major Deegan Expressway southbound at East 138th Street (New York), Continuous Monday April 25th, 2022 12:00 AM thru Friday April 24th, 2026 11:59 PM 1 Right lane of 3 lanes closed",2022-04-25T04:00:00.000+00:00,2026-04-25T03:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300362090,work-zone,I-86,unknown,"Bridge work on I-86 eastbound ramp to Exit 9 closed. Use Exit 10. (Ellery), Continuous Wednesday April 3rd, 2024 12:00 AM thru Monday November 30th, 2026 11:59 PM All lanes closed",2024-04-03T04:00:00.000+00:00,2026-12-01T04:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300483554,work-zone,W 6TH ST,unknown,"Construction on W 6TH ST southbound between NEPTUNE AVE (New York) and SHEEPSHEAD BAY RD (New York) for contract C-34916, painting and steel repairs., Continuous Wednesday September 10th, 2025 12:00 AM thru Monday December 8th, 2025 11:59 PM All lanes closed",2025-09-10T04:00:00.000+00:00,2025-12-09T04:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300333562,work-zone,CT 9,unknown,"Construction on CT 9 both directions Exit 15 - CT 66 (Middletown) temporary shoulder and lane closures, Monday August 7th, 2023 thru Thursday October 15th, 2026, Sunday/Monday/Tuesday/Wednesday/Thursday/Friday, 09:00 PM thru 06:00 AM All lanes open",2023-08-08T01:00:00.000+00:00,2026-10-16T03:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300447466,work-zone,NY 19; Main Street,unknown,"Bridge rehabilitation on NY 19; Main Street both directions over Erie Canal (Sweden) follow posted detour, Continuous Monday May 15th, 2023 09:00 AM thru Saturday November 1st, 2025 05:00 PM All lanes closed",2023-05-15T13:00:00.000+00:00,2025-11-02T03:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300352281,work-zone,I-481,unknown,"Longterm construction and roadwork on I-481 northbound between Exit 5W - Kirkville Road; CR 53 (De Witt) and NY 481 at Exit 10 - Circle Drive (Cicero) ; Alternating lane closures, Wednesday January 1st, 2025 thru Wednesday December 31st, 2025, Monday thru Friday, 06:30 AM thru 06:00 PM All lanes open, Monday January 1st, 2024 thru Wednesday December 31st, 2025, Monday/Tuesday/Wednesday/Thursday/Friday/Saturday, 06:30 AM thru 06:00 PM All lanes open",2024-01-01T11:30:00.000+00:00,2026-01-01T04:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300473756,work-zone,NY 22,unknown,"Bridge replacement on NY 22 southbound between CR 71 and Cold Spring Ln (White Creek) alternating lane closures, Continuous Thursday July 31st, 2025 12:00 AM thru Sunday November 30th, 2025 11:59 PM All lanes open",2025-07-31T04:00:00.000+00:00,2025-12-01T04:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300483545,work-zone,MONROE AVE,unknown,"Crane operations on MONROE AVE southbound between E 174TH ST (New York) and E 173RD ST (New York), Saturday September 13th, 2025 thru Sunday October 12th, 2025, Sunday thru Saturday, 09:00 AM thru 02:00 PM All lanes closed",2025-09-13T13:00:00.000+00:00,2025-10-13T03:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300436758,work-zone,I-91,unknown,"Milling and paving operations on I-91 both directions between Exit 33 - Jennings Road/to Windsor Street (Hartford) and I-91 HOV Lane at Exit 35 - I-291/Wolcott Avenue (Windsor) There will be various intermittent lane closuresIn addition, various on and off-ramps for this I-91 termini (including Exits 33, 34, 35, 36 and the HOV) may be closed to support milling and paving operations., Sunday April 13th, 2025 thru Saturday November 15th, 2025, Sunday/Monday/Tuesday/Wednesday/Thursday, 06:00 PM thru 05:00 AM All lanes open",2025-04-13T22:00:00.000+00:00,2025-11-16T04:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300483544,work-zone,DE REIMER AVE,unknown,"Construction on DE REIMER AVE both directions between ERSKINE PL (New York) and BASSETT AVE (New York) for drainage Tie-In., Friday September 12th, 2025 thru Friday December 12th, 2025, Sunday thru Saturday, 09:00 AM thru 04:00 PM All lanes closed northbound; 1 Right lane of 3 lanes closed southbound",2025-09-12T13:00:00.000+00:00,2025-12-13T04:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300483548,work-zone,HOE AVE,unknown,"Crane operations on HOE AVE southbound between JENNINGS ST (New York) and FREEMAN ST (New York), Saturday September 13th, 2025 thru Saturday October 11th, 2025, 08:00 AM thru 06:00 PM All lanes closed, Sunday September 14th, 2025 thru Sunday October 12th, 2025, 09:00 AM thru 06:00 PM All lanes closed",2025-09-13T12:00:00.000+00:00,2025-10-13T03:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300352294,work-zone,I-81,unknown,"Longterm construction and roadwork on I-81 southbound between Exit 98 - NY 31; Cicero; Bridgeport (Cicero) and Exit 23 - NY 370 East; Park Street; Hiawatha Boulevard (Syracuse) ; Alternating lane closures, Wednesday January 1st, 2025 thru Wednesday December 31st, 2025, Monday thru Friday, 06:30 AM thru 06:00 PM All lanes open, Monday January 1st, 2024 thru Wednesday December 31st, 2025, Monday/Tuesday/Wednesday/Thursday/Friday/Saturday, 06:30 AM thru 06:00 PM All lanes open",2024-01-01T11:30:00.000+00:00,2026-01-01T04:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300352293,work-zone,I-81,unknown,"Roadwork on I-81 southbound at Exit 29S - I-481 South; Dewitt (Cicero) ; Alternating shoulder closures, Wednesday January 1st, 2025 thru Wednesday December 31st, 2025, Sunday thru Saturday, 06:30 AM thru 06:00 PM All lanes open, Monday January 1st, 2024 thru Wednesday December 31st, 2025, Monday/Tuesday/Wednesday/Thursday/Friday/Saturday, 06:30 AM thru 06:00 PM All lanes open",2024-01-01T11:30:00.000+00:00,2026-01-01T04:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300435899,work-zone,US 5,unknown,"Paving operations on US 5 both directions between CT-287 (Newington) and NOTT ST (Wethersfield) There will be various lane closures. Traffic control signing patterns, cones and truck mounted attenuators will be utilized to guide motorists through the work zone. No work will be performed the day before or day after all State recognized holidays., Continuous Sunday April 6th, 2025 08:00 PM thru Friday November 7th, 2025 06:00 AM All lanes open",2025-04-07T00:00:00.000+00:00,2025-11-08T04:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300431056,work-zone,I-481,unknown,Bridge work on I-481 northbound between Exit 4 - I-690 (De Witt) and Exit 5E - Kirkville Road; CR 53 (De Witt) Not currently Scheduled,2025-03-05T23:46:08.000+00:00,2025-07-27T03:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC32487309,work-zone,NY 5S,unknown,"Utility work on NY 5S both directions between Orchard Street (Fort Plain) and Old Fort Plain Road (Fort Plain) Motorists will encounter lane closures in both directions with flaggers in place, Tuesday September 2nd, 2025 thru Friday October 17th, 2025, Monday thru Friday, 07:00 AM thru 05:00 PM,",2025-09-02T11:00:00.000+00:00,2025-10-18T03:59:59.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
